id,bg_name,year,popularity,best_for,weigth
1072,Robinson Crusoe: Adventures on the Cursed Island,2012,38121,0.0,3.8
1073,Teotihuacan: City of Gods,2018,15942,4.0,3.77
1074,Five Tribes,2014,35814,2.0,2.85
1075,The Voyages of Marco Polo,2015,22323,4.0,3.19
1076,7 Wonders,2010,92171,5.0,2.33
1077,Agricola (Revised Edition),2016,12536,4.0,3.5
1078,The Crew: Mission Deep Sea,2021,4881,4.0,2.01
1079,Lords of Waterdeep,2012,49709,4.0,2.46
1080,Dominant Species,2010,19054,4.0,4.04
1081,Grand Austria Hotel,2015,15330,2.0,3.22
1082,Tainted Grail: The Fall of Avalon,2019,8791,2.0,3.3
1083,Architects of the West Kingdom,2018,21885,4.0,2.76
1084,Cascadia,2021,8314,3.0,1.9
1085,Keyflower,2012,20532,4.0,3.34
1086,El Grande,1995,25003,5.0,3.05
1087,Caylus,2005,27750,3.0,3.8
1088,Battlestar Galactica: The Board Game,2008,34361,5.0,3.25
1089,Twilight Imperium: Third Edition,2005,18752,6.0,4.25
1090,Troyes,2010,20708,3.0,3.46
1091,Dominion: Intrigue,2009,31628,3.0,2.42
1092,The Lord of the Rings: Journeys in Middle-Earth,2019,12092,2.0,2.6
1093,Mombasa,2015,11893,4.0,3.89
1094,Raiders of the North Sea,2015,19187,3.0,2.54
1095,Eldritch Horror,2013,32201,4.0,3.32
1096,Kanban EV,2020,3557,3.0,4.36
1097,Lorenzo il Magnifico,2016,11246,4.0,3.3
1098,Tigris & Euphrates,1997,26576,4.0,3.51
1099,Rising Sun,2018,18106,5.0,3.28
1100,Patchwork,2014,54450,2.0,1.62
