id,bg_name,year,popularity,best_for,weigth
232,1960: The Making of the President,2007,8866,2.0,3.2
233,Lewis & Clark: The Expedition,2013,14181,3.0,3.34
234,The Taverns of Tiefenthal,2019,9468,3.0,2.7
235,Pulsar 2849,2017,7237,4.0,3.35
236,Samurai,1998,15354,3.0,2.48
237,Bora Bora,2013,9506,4.0,3.74
238,Too Many Bones: Undertow,2018,2252,2.0,4.02
239,Kingdomino,2016,38627,2.0,1.22
240,My City,2020,5457,4.0,2.02
241,Power Grid Deluxe: Europe/North America,2014,4039,5.0,3.19
242,Seasons,2012,22467,2.0,2.77
243,Dixit: Odyssey,2011,18501,6.0,1.18
244,"Unmatched: Battle of Legends, Volume One",2019,5242,2.0,1.9
245,Star Wars: Outer Rim,2019,7906,3.0,2.49
246,Imperial,2006,8450,4.0,3.57
247,Rococo,2013,8160,3.0,3.09
248,KLASK,2014,7286,2.0,1.08
249,Tapestry,2019,15386,3.0,2.9
250,Dungeon Petz,2011,13715,4.0,3.62
251,Western Legends,2018,8517,4.0,2.8
252,Battle Line,2000,16377,2.0,1.9
253,Fantasy Realms,2017,9055,3.0,1.74
254,Paleo,2020,5406,3.0,2.63
255,Fury of Dracula (Third/Fourth Edition),2015,12813,3.0,3.25
256,The Manhattan Project: Energy Empire,2016,5336,4.0,3.05
257,Age of Empires III: The Age of Discovery,2007,10012,5.0,3.13
258,Unmatched: Cobble & Fog,2020,3261,2.0,1.96
259,Imperial Settlers,2014,22615,2.0,2.77
260,Vindication,2018,5475,4.0,3.06
261,Space Alert,2008,15296,5.0,2.96
262,Navegador,2010,8534,4.0,3.09
263,Ethnos,2017,11298,4.0,2.03
264,Hive,2000,32503,2.0,2.32
265,Indonesia,2005,4235,4.0,3.97
266,The Red Cathedral,2020,5045,3.0,2.8
267,Summoner Wars: Master Set,2011,10656,2.0,2.51
268,Onitama,2014,18040,2.0,1.68
269,Lords of Hellas,2018,6345,4.0,3.34
270,Dead of Winter: The Long Night,2016,8798,4.0,3.37
271,Exit: The Game – The Abandoned Cabin,2016,10026,2.0,2.54
272,Runewars,2010,7989,4.0,3.79
273,Alien Frontiers,2010,14591,4.0,2.57
274,Cryptid,2018,9878,4.0,2.22
275,Imperial 2030,2009,6148,4.0,3.51
276,Nemo's War (Second Edition),2017,4243,1.0,3.18
277,Antiquity,2004,4091,3.0,4.31
278,Burgle Bros.,2015,9481,3.0,2.32
279,Telestrations,2009,14711,8.0,1.08
280,Forgotten Waters,2020,3785,5.0,2.1
281,Century: Spice Road,2017,21225,4.0,1.78
282,BattleLore: Second Edition,2013,5986,2.0,2.7
283,Cthulhu Wars,2015,4999,4.0,3.14
284,Hannibal: Rome vs. Carthage,1996,4853,2.0,3.45
285,Hallertau,2020,3346,2.0,3.31
286,Glass Road,2013,10008,2.0,2.97
287,Heaven & Ale,2017,7340,4.0,3.23
288,Camel Up (Second Edition),2018,6623,6.0,1.46
289,Tiny Epic Galaxies,2015,17619,3.0,2.15
290,Arboretum,2015,15894,2.0,2.15
291,Tikal,1999,18785,4.0,2.79
292,Bruges,2013,10855,3.0,2.75
293,Small World,2009,65631,4.0,2.35
294,Above and Below,2015,14247,3.0,2.52
295,Dungeon Lords,2009,13287,4.0,3.56
296,Love Letter,2012,60733,4.0,1.19
297,Mage Wars Arena,2012,7618,2.0,3.68
298,Arkham Horror (Third Edition),2018,6800,3.0,3.33
299,Sid Meier's Civilization: The Board Game,2010,15020,4.0,3.89
300,Acquire,1964,18910,4.0,2.5
301,Mysterium,2015,36474,6.0,1.9
302,Survive: Escape from Atlantis!,1982,22667,4.0,1.7
303,Letters from Whitechapel,2011,14676,2.0,2.65
304,Merchants & Marauders,2010,13304,4.0,3.24
305,Bärenpark,2017,14600,4.0,1.64
306,Mission: Red Planet (Second Edition),2015,9850,4.0,2.2
307,Neuroshima Hex! 3.0,2006,14012,2.0,2.62
308,Dixit,2008,55993,6.0,1.21
309,Ankh: Gods of Egypt,2021,4275,2.0,3.05
310,The Resistance,2009,37903,7.0,1.6
311,Takenoko,2011,39078,3.0,1.97
312,Ghost Stories,2008,20233,4.0,2.9
313,Bunny Kingdom,2017,9469,4.0,2.27
314,Agricola: All Creatures Big and Small,2012,12937,2.0,2.35
315,Star Wars: Armada,2015,4974,2.0,3.15
316,Monikers,2015,4364,6.0,1.06
317,Awkward Guests,2016,5556,4.0,2.31
318,Star Realms: Frontiers,2018,3567,2.0,1.88
319,Altiplano,2017,7935,3.0,3.31
320,Harry Potter: Hogwarts Battle,2016,14881,0.0,2.09
321,For Sale,1997,26429,5.0,1.26
322,51st State: Master Set,2016,5887,2.0,2.91
323,Great Western Trail (Second Edition),2021,1930,3.0,3.64
324,Evolution: Climate,2016,6890,4.0,2.77
325,Lost Cities,1999,40522,2.0,1.49
326,San Juan,2004,22884,3.0,2.29
327,Tekhenu: Obelisk of the Sun,2020,4097,3.0,4.09
328,Here I Stand,2006,3698,6.0,4.18
329,Notre Dame,2007,12713,4.0,2.75
330,Die Macher,1986,5452,5.0,4.32
331,Nusfjord,2017,5200,1.0,2.86
332,At the Gates of Loyang,2009,10415,2.0,3.12
333,The Pillars of the Earth,2006,16960,4.0,2.82
334,Gùgōng,2018,7341,3.0,3.1
335,Gizmos,2018,9158,3.0,2.01
336,Blood Bowl: Team Manager – The Card Game,2011,10791,4.0,2.33
337,Dice Throne: Season Two – Battle Chest,2018,3094,2.0,2.16
338,Bonfire,2020,4066,3.0,3.63
339,Endeavor,2009,9242,5.0,2.91
340,Aeon's End: The New Age,2019,1916,2.0,2.93
341,Hadrian's Wall,2021,2727,1.0,3.13
342,Saint Petersburg,2004,15164,4.0,2.46
343,Carpe Diem,2018,6028,3.0,2.52
344,Mythic Battles: Pantheon,2017,2815,2.0,3.04
345,Bruxelles 1893,2013,5064,4.0,3.59
346,In the Year of the Dragon,2007,11309,5.0,3.1
347,Innovation,2010,16203,2.0,2.75
348,Tiny Towns,2019,14172,3.0,2.07
349,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,2016,4914,2.0,2.2
350,Azul: Stained Glass of Sintra,2018,10767,3.0,2.01
351,Ticket to Ride: Märklin,2006,8892,4.0,2.24
352,Newton,2018,5432,3.0,3.4
353,The Great Zimbabwe,2012,3710,4.0,3.7
354,King of Tokyo,2011,62653,5.0,1.49
355,Sword & Sorcery,2017,4226,1.0,4.06
356,Clash of Cultures,2012,5436,4.0,3.6
357,Ginkgopolis,2012,6186,3.0,2.92
358,Abyss,2014,12092,4.0,2.34
359,Pandemic: Fall of Rome,2018,4799,3.0,2.44
